RMSE,solver
12.3923827924802,CryptoMiniSat_Strange.Night2.st_fixed_
-5.55240536411497,EBGlucose_1.0
13.6839401848572,Lingeling_587f_fixed_
-10.9252162775028,MPhaseSAT64_2011.05.14_fixed_
46.1865271218596,QuteRSat_2011.05.12_fixed_
-4.40981108388132,RestartSAT_B95
-3.08741952960509,SAT09referencesolverglucose_1.0
-3.39513520520404,SAT09referencesolverprecosat_236
-7.90259719681603,glucose_2
24.5769165865765,glueminisat_2.2.5
-4.05350196510244,minisathackEBMiniSAT_2011.03.02
-1.42527321365606,minisathackLR_GL_SHR_2011.03.02
11.6494151322095,minisathackMiniSAT_2.2.0.agile.26
-7.98090046938569,minisathackcir_minisat_2011.05.13_simp_
0.631100334403982,minisathackcontrasat_2011.03.02
-1.34639208009366,minisathackminisat_psm_2011.04.01
8.69519468358749,minisathackreferenceminisat_2.2.0
1.78118156069263,rcl_2011.04.01
