@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
10067,1,1
10070,1,1
125878,1,1
125880,1,1
125884,1,1
125885,1,1
1705,1,1
1710,1,1
1735,1,1
2098,1,1
10046,1,2
10053,1,2
10069,1,2
10075,1,2
10079,1,2
125915,1,2
1701,1,2
1720,1,2
1721,1,2
7532,1,2
10055,1,3
10072,1,3
10080,1,3
10084,1,3
125887,1,3
125891,1,3
125892,1,3
1740,1,3
1764,1,3
7536,1,3
10071,1,4
10074,1,4
125850,1,4
125866,1,4
125871,1,4
125876,1,4
1722,1,4
1752,1,4
2097,1,4
2102,1,4
10076,1,5
125849,1,5
125857,1,5
125859,1,5
125869,1,5
125911,1,5
1713,1,5
1715,1,5
1730,1,5
1744,1,5
10041,1,6
10083,1,6
125855,1,6
125868,1,6
125873,1,6
125874,1,6
125886,1,6
125894,1,6
125905,1,6
125914,1,6
1714,1,6
10082,1,7
10085,1,7
125854,1,7
125865,1,7
125888,1,7
125910,1,7
1711,1,7
1717,1,7
1731,1,7
1736,1,7
1742,1,7
10050,1,8
10077,1,8
125870,1,8
125877,1,8
125890,1,8
125897,1,8
125901,1,8
125902,1,8
125909,1,8
1727,1,8
1757,1,8
10047,1,9
10054,1,9
125851,1,9
125852,1,9
125853,1,9
125861,1,9
125867,1,9
125875,1,9
125889,1,9
1702,1,9
7535,1,9
10045,1,10
10086,1,10
125879,1,10
125881,1,10
125898,1,10
125899,1,10
125906,1,10
125913,1,10
1719,1,10
1723,1,10
1728,1,10
