@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute MeanAttributeEntropy numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NoiseToSignalRatio numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfBinaryFeatures numeric
@attribute DecisionStumpKappa numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute NumberOfMissingValues numeric
@attribute J48.001.ErrRate numeric
@attribute HoeffdingAdwin.changes numeric
@attribute PercentageOfNumericFeatures numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute NaiveBayesErrRate numeric
@attribute MinMutualInformation numeric
@attribute MajorityClassPercentage numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute J48.00001.ErrRate numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute PercentageOfMissingValues numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute EquivalentNumberOfAtts numeric
@attribute DecisionStumpErrRate numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute Quartile3AttributeEntropy numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MinorityClassPerentage numeric
@attribute J48.00001.Kappa numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute REPTreeDepth3AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute Quartile1AttributeEntropy numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute REPTreeDepth1Kappa numeric
@attribute Dimensionality numeric
@attribute REPTreeDepth2AUC numeric
@attribute MinAttributeEntropy numeric
@attribute NaiveBayesDdm.changes numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinorityClassSize numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute MajorityClassSize numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute MaxAttributeEntropy numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute HoeffdingDDM.changes numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute NaiveBayesKappa numeric
@attribute HoeffdingDDM.warnings numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute NumberOfInstances numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute J48.001.AUC numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute J48.0001.AUC numeric
@attribute RandomTreeDepth3AUC numeric
@attribute MeanMutualInformation numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth2AUC numeric
@attribute MinMeansOfNumericAtts numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute NumberOfFeatures numeric
@attribute NaiveBayesAUC numeric
@attribute DefaultAccuracy numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute MaxMutualInformation numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute RandomTreeDepth1AUC numeric
@attribute J48.0001.Kappa numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute REPTreeDepth2Kappa numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute J48.00001.AUC numeric
@attribute Quartile2MutualInformation numeric
@attribute J48.001.Kappa numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute NumberOfClasses numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute ClassEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute J48.0001.ErrRate numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute REPTreeDepth3Kappa numeric
@attribute DecisionStumpAUC numeric

@data
10041,1,-1,0,?,48,1,0,3.539886,0,0.163744,0,97.959184,3.098574,0,0.176458,?,75.186322,1,0.163744,-1,0,-2.004386,14389.000208,?,0.248137,0.211092,21111483.86778,0,?,78.396131,24.813678,0.535454,0.158702,0.184776,0.855157,0.211092,?,-5685.667682,5487.210434,0.534444,0.010741,0.855157,?,0,-1,1132,?,0.002861,18.843477,?,0.640384,3430,0.158702,?,0.442028,1,12.90652,0.516938,20,1,-1,0.158702,26074559.210526,4562,0.442028,0.821322,119.962495,0.821322,0.724088,?,0.211092,0.724088,-91638847.147731,2.040816,49,0.877973,0.751863,21,16.664516,0.855157,?,0,0.724088,0.535454,0,0.442028,0.302261,0.534444,0.102076,0.821322,?,0.535454,0,2,-1,0.808312,-1.171043,?,-75.962778,2.040816,0.163744,0,0.534444,0.745458
10045,1,-1,0,?,10936,1,0.884191,3.715534,0,0.069841,0,99.990857,3.266191,419.452574,0.042857,?,54.603175,1,0.066667,-1,0,-0.7077,623.854511,?,0.057143,0.085714,59114.865731,0,?,31.73235,45.396825,0.865448,0.055556,7.406809,0.951166,0.139683,?,3451.636717,1820.398291,0.865129,17.360317,0.951166,?,10,-1,286,?,1.315658,1662.124667,?,2.005723,344,0.055556,?,0.712657,13,24.033563,0.913118,14,865.210219,-1,0.066667,114893.941746,630,0.685444,0.93103,25.015611,0.942663,0.923794,?,0.153968,0.898561,45.093492,0.009143,10937,0.954271,0.546032,9,2842.900794,0.932479,?,0,0.868988,0.865448,958.288254,0.826184,580.211377,0.887906,1570.820159,0.942663,?,0.859206,0,2,-1,0.993877,3.123279,?,-0.085471,0.009143,0.066667,0,0.887906,0.940011
10046,1,-1,0,?,10936,1,0.918886,3.583737,0,0.048013,0,99.990857,3.15002,395.010826,0.028146,?,56.953642,1,0.048013,-1,0,-1.384623,597.853028,?,0.039735,0.10596,248857.443446,0,?,28.082378,43.046358,0.902034,0.039735,7.129003,0.953947,0.10596,?,3384.87195,1882.157387,0.918886,18.107616,0.953947,?,10,-1,260,?,1.266199,1664.414204,?,2.029494,344,0.039735,?,0.781437,9,21.200967,0.942463,13,875.100196,-1,0.039735,129230.071429,604,0.781437,0.950805,24.490381,0.950805,0.886315,?,0.10596,0.886315,46.38719,0.009143,10937,0.970125,0.569536,9,2781.459235,0.953947,?,0,0.886315,0.902034,935.364472,0.781437,580.312011,0.918886,1537.898554,0.950805,?,0.902034,0,2,-1,0.986003,2.837359,?,-0.482788,0.009143,0.048013,0,0.918886,0.953947
10047,1,-1,0,?,1776,1,0.471896,10.525685,0,0.253532,0,99.943725,8.202368,0.002721,0.341509,?,54.22554,1,0.250333,-1,0,-2.000266,3745.0008,?,0.26313,0.389763,0.500067,0,?,162.18877,45.77446,0.493548,0.250333,43.098687,0.766297,0.38683,?,0.08788,0.158031,0.471896,0.47374,0.763502,?,0,-1,1717,?,2.478764,0.253003,?,6.273979,2034,0.243668,?,0.20699,1,144.329705,0.295015,32,0.107613,-1,0.26313,0.974167,3751,0.198918,0.745383,61.212752,0.745568,0.643393,?,0.388963,0.643595,0.000044,0.056275,1777,0.718025,0.542255,16,0.095908,0.732631,?,0,0.623991,0.492,0.006487,0.198795,0.045367,0.489171,0.019995,0.750057,?,0.487543,0,2,-1,0.994842,6.235014,?,-31.443752,0.056275,0.251133,0,0.505251,0.732631
10050,1,-1,0,?,970,1,0.442476,1.266625,0,0.158016,0,99.897013,1.666313,0,0.232699,?,50.836217,1,0.158016,-1,0,-2.004386,14389.000208,?,0.277393,0.245098,21111483.86778,0,?,45.031963,49.163783,0.683977,0.145905,-0.508136,0.900134,0.245098,?,-7948.220621,7658.612794,0.708192,0.279988,0.900134,?,0,-1,1705,?,-0.018144,26.705939,?,0.146487,1763,0.145905,?,0.509525,0,2.203072,0.533441,5,1,-1,0.145905,26074559.210526,3468,0.509525,0.843794,119.962495,0.843794,0.754689,?,0.245098,0.754689,-91638847.147731,0.102987,971,0.823548,0.508362,4,27.878171,0.900134,?,0,0.754689,0.683977,0,0.509525,1,0.708192,0.402299,0.843794,?,0.683977,0,2,-1,0.999798,-1.194974,?,-75.962778,0.102987,0.158016,0,0.708192,0.72499
10053,1,-1,0,?,1558,1,0.529897,17.175689,0,0.041476,2,99.935856,13.954565,0.034911,0.040561,?,86.00183,1,0.041171,-1,0,-1.122773,814.501831,?,0.090271,0.121378,130.657205,7,?,206.762999,13.99817,0.818932,0.060994,213.538537,0.870788,0.127478,?,0.112094,0.201051,0.521023,0.47545,0.826429,?,1,-1,459,?,11.748748,0.083916,?,14.681241,2820,0.046051,?,0.16407,1,293.003975,0.819169,0,0.067491,-1,0.089661,112.659347,3279,0.157645,0.896134,28.574501,0.896134,0.686807,?,0.128088,0.678228,0.00122,0.064144,1559,0.94384,0.860018,0,0.007091,0.696632,?,0,0.553046,0.817414,0.003355,0.226347,0.057831,0.718996,0.004575,0.896076,?,0.817414,0,2,-1,0.584191,136.044887,?,-1.240968,0.064144,0.041476,0,0.792666,0.722287
10054,1,-1,0,?,21,1,0,3.603829,25,0.198438,3,95.454545,3.163798,0,0.196601,?,80.652274,1,0.198438,-1,0.01044,-2.004386,14389.000208,?,0.193477,0.250253,21111483.86778,2,?,79.547069,19.347726,0.195445,0.19017,0.244551,0.699265,0.250253,?,-5416.443735,5616.136871,0.167367,0.002021,0.699265,?,2,-1,2106,?,0.004968,20.159381,?,0.681434,8779,0.19017,?,0.199866,1,13.870491,0.197397,1,1,-1,0.19017,26074559.210526,10885,0.199866,0.659273,119.962495,0.659273,0.59084,?,0.250253,0.59084,-91638847.147731,4.545455,22,0.654348,0.806523,2,17.525683,0.699265,?,0,0.59084,0.195445,0,0.199866,0.310339,0.167367,0.117204,0.659273,?,0.195445,0.045935,2,-1,0.708689,-1.168008,?,-75.962778,4.545455,0.198438,5,0.167367,0.662084
10055,1,-1,0,?,21,1,0,3.667283,0,0.152679,2,95.454545,3.216656,0,0.17449,?,84.542437,1,0.152679,-1,0,-2.004386,14389.000208,?,0.154576,0.176387,21111483.86778,2,?,80.199805,15.457563,0.223027,0.144144,0.433442,0.764936,0.176387,?,-5153.941212,5516.14701,0.184938,0.010431,0.764936,?,1,-1,326,?,0.009919,22.047802,?,0.770575,1783,0.144144,?,0.311319,1,14.388771,0.30084,1,1,-1,0.144144,26074559.210526,2109,0.311319,0.703078,119.962495,0.703078,0.640408,?,0.176387,0.640408,-91638847.147731,4.545455,22,0.78955,0.845424,1,18.267943,0.764936,?,0,0.640408,0.223027,0,0.311319,0.32459,0.184938,0.162366,0.703078,?,0.223027,0,2,-1,0.621173,-1.159316,?,-75.962778,4.545455,0.152679,0,0.184938,0.712375
10067,1,-1,0,?,11,1,0.425235,0.813521,0,0.159043,2,91.666667,0.274527,0.110511,0.273239,?,64.837014,1,0.159043,-1,0,-1.725478,16.759645,?,0.275815,0.191062,817.882087,2,?,1.953307,35.162986,0.638574,0.153049,-0.292665,0.87364,0.191062,?,472.171974,55.698425,0.650908,0.000631,0.87364,?,1,-1,6688,?,-0.594292,38.299546,?,0.275481,12332,0.153049,?,0.580117,1,4.230451,0.328548,0,0.355952,-1,0.153049,9132.161644,19020,0.580117,0.851918,3.371273,0.851918,0.789463,?,0.191062,0.789463,-4.331745,8.333333,12,0.756665,0.64837,0,19.272111,0.87364,?,0,0.789463,0.638574,0.361516,0.580117,0.287546,0.650908,0.546751,0.851918,?,0.638574,0,2,-1,0.935515,-0.626944,?,-1.703351,8.333333,0.159043,0,0.650908,0.729727
10069,1,-1,0,?,5,1,0.843466,3.540296,0,0.057317,27,83.333333,3.091089,0,0.314571,?,67.14056,1,0.057317,-1,0,-2.004386,14389.000208,?,0.065552,0.06954,21111483.86778,19,?,77.667238,32.85944,0.865841,0.059054,0.21313,0.953849,0.06954,?,-5488.681779,5579.425965,0.862182,0.000386,0.953849,?,59,-1,5108,?,0.003676,19.468894,?,0.661981,10437,0.059054,?,0.842043,4,12.993299,0.400462,35,1,-1,0.059054,26074559.210526,15545,0.842043,0.947158,119.962495,0.947158,0.920075,?,0.06954,0.920075,-91638847.147731,16.666667,6,0.828391,0.671406,190,17.050517,0.953849,?,0,0.920075,0.865841,0,0.842043,0.305506,0.862182,0.109583,0.947158,?,0.865841,0,2,-1,0.913484,-1.169698,?,-75.962778,16.666667,0.057317,0,0.862182,0.899418
