@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute base numeric
@attribute sp numeric
@attribute dia numeric
@attribute cl numeric
@attribute unit numeric
@attribute ls numeric
@attribute lobjois numeric
@attribute tud_base numeric
@attribute tud_clausesf numeric
@attribute tud_resf numeric
@attribute tud_varf numeric
@attribute tud_derivativef numeric
@attribute tud_big numeric
@attribute tud_const numeric
@attribute tud_rwhf numeric
@attribute tud_xor numeric

@data
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf.gz,1,0.788,0.244,1.34,5.072,0.096,4.768,2.068,0.02,0.028,0.032,0.004,0.004,0.012,0.012,0.008,0.012
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf.gz,1,0.848,0.28,1.672,5.08,0.112,4.856,2.08,0.024,0.02,0.028,0,0,0.008,0.008,0.004,0.012
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf.gz,1,22.596,7.844,12.492,7.432,5.784,6.808,4.488,0.136,0.892,0.968,0.04,0,0.072,0.108,0.064,0.112
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf.gz,1,21.412,2.192,10.788,5.776,1.028,5.052,2.78,0.14,0.496,0.552,0.036,0,0.072,0.104,0.06,0.116
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf.gz,1,21.96,3.104,11.104,6.096,2.216,5.36,3.084,0.164,0.608,0.688,0.048,0.004,0.088,0.124,0.084,0.148
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf.gz,1,22.548,7.54,12.444,7.404,5.548,6.904,4.42,0.14,0.94,1.004,0.052,0.004,0.08,0.12,0.064,0.136
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf.gz,1,2.02,0.32,4.184,5.116,0.256,4.584,2.12,0.032,0.052,0.06,0.008,0.004,0.02,0.024,0.016,0.028
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf.gz,1,11.764,2.416,10.752,5.74,8.256,5.196,2.74,0.236,0.312,0.38,0.056,0.008,0.12,0.124,0.084,0.18
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf.gz,1,30.06,8.736,12.788,7.768,2.964,7.472,4.856,0.584,0.944,1.072,0.212,0,0.264,0.304,0.212,0.44
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-15-5p0.cnf.gz,1,53.416,10.56,13.988,8.852,4.08,8.64,5.856,0.86,1.432,1.484,0.252,0,0.344,0.396,0.336,0.532
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-10-10p1.cnf.gz,1,23.804,7.552,12.62,7.68,3.732,7.208,4.66,0.532,1.024,1.14,0.216,0,0.232,0.292,0.212,0.36
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-15-5p1.cnf.gz,1,36.172,9.984,13.568,8.504,5.416,8.26,5.48,0.784,1.644,1.78,0.244,0,0.288,0.36,0.28,0.476
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/UR-15-5p1.cnf.gz,1,36.208,9.508,13.468,8.504,3.932,8.256,5.492,0.72,1.604,1.82,0.276,0.012,0.272,0.312,0.248,0.432
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2009Unselected/application/SAT09/APPLICATIONS/diagnosis/UTI-10-10p1.cnf.gz,1,23.864,7.248,12.684,7.692,15.924,7.204,4.608,0.552,0.948,1.1,0.184,0.008,0.244,0.312,0.236,0.396
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/fuhs/AProVE11/AProVE11-01.cnf.gz,1,42.508,9.256,13.38,4.36,16.064,8.084,5.292,0.732,5.22,5.088,0.24,0.012,0.32,0.456,0.308,0.652
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/fuhs/AProVE11/AProVE11-05.cnf.gz,1,24.176,3.24,11.252,6.244,2.164,5.62,3.232,0.284,0.676,0.768,0.088,0,0.128,0.164,0.112,0.244
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/fuhs/AProVE11/AProVE11-08.cnf.gz,1,45.576,8.696,13.584,8.54,3.936,8.324,5.528,0.776,5.164,5.136,0.232,0,0.332,0.448,0.272,0.676
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/fuhs/AProVE11/AProVE11-14.cnf.gz,1,134.332,16.196,17.884,10.16,37.304,13.716,9.94,1.664,?,?,0.552,0,0.732,1.792,0.712,1.46
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top27.cnf.gz,1,22.684,3.652,11.072,6.048,8.332,5.464,3.052,0.22,1.26,1.384,0.08,0.008,0.112,0.152,0.096,0.188
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvrod6x8p2-tseitin.cnf.gz,1,24.084,6.856,12.844,7.824,4.432,7.396,4.828,0.464,3.008,3.316,0.14,0.004,0.24,0.344,0.216,0.46
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc331235-tseitin.cnf.gz,1,42.696,13.824,17.476,12.372,9.828,12.124,9.384,1.084,?,?,0.252,0.004,0.552,0.94,0.472,1.052
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc344392-tseitin.cnf.gz,1,26.992,8.956,13.568,5.424,5.424,8.02,5.636,0.612,5.676,5.316,0.144,0,0.32,0.5,0.284,0.616
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc352372-tseitin.cnf.gz,1,34.056,12.388,16.48,11.916,7.188,11.536,8.876,0.892,7.572,7.16,0.256,0.012,0.472,0.696,0.416,0.868
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225297-tseitin.cnf.gz,1,26.328,5.224,12.472,2.584,3.508,6.748,4.364,0.392,3.88,3.788,0.108,0.004,0.22,0.332,0.18,0.384
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1228572-tseitin.cnf.gz,1,28.356,9.448,13.808,4.728,6.444,8.34,5.808,0.628,8.324,7.7,0.148,0.004,0.316,0.492,0.264,0.592
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225238-tseitin.cnf.gz,1,23.62,6.184,12.328,2.792,4,6.876,4.26,0.38,3.46,3.4,0.108,0.008,0.22,0.332,0.18,0.38
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1225819-tseitin.cnf.gz,1,28.5,9.708,14.16,5.108,6.092,8.7,6.268,0.648,9.54,8.724,0.18,0.032,0.364,0.568,0.308,0.668
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228447-tseitin.cnf.gz,1,29.224,9.744,14.276,5.136,7.044,8.524,6.1,0.652,8.544,7.8,0.16,0,0.36,0.544,0.28,0.624
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc4322-tseitin.cnf.gz,1,37.796,13.728,17.412,12.38,7.608,11.964,9.332,1.048,8.292,7.876,0.288,0.012,0.576,0.828,0.472,1.04
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin.cnf.gz,1,26.76,7.988,12.556,3.3,2.868,6.912,4.568,0.396,4.716,4.456,0.112,0.008,0.232,0.352,0.188,0.38
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbsharemodes_vc7701-tseitin.cnf.gz,1,39.1,13.032,16.852,11.792,8.516,11.456,8.696,1.016,11.316,9.952,0.248,0,0.52,0.776,0.44,0.952
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc36608-tseitin.cnf.gz,1,24.284,2.904,10.972,5.96,2.912,5.348,2.964,0.256,3.572,2.972,0.072,0.004,0.148,0.216,0.12,0.236
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-innfeed_innfeed_vc37051-tseitin.cnf.gz,1,23.844,4.348,12.14,2.52,3.96,6.544,4.184,0.332,4.044,3.428,0.076,0,0.18,0.272,0.148,0.3
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-src_wget_vc17912-tseitin.cnf.gz,1,35.316,10.692,14.588,9.652,5.512,8.984,6.624,0.672,3.848,3.832,0.164,0.004,0.352,0.532,0.292,0.62
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/kullmann/AES/Benchmarks/64/aes_64_1_keyfind_2.cnf.gz,1,0.18,0.036,0.032,5.004,0.004,4.98,2.012,0.012,0.008,0.008,0,0,0,0,0,0
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/leberre/2dimensionalstrippacking/E03X18.cnf.gz,1,21.108,5.324,10.484,5.46,4.388,4.72,2.468,0.12,?,3.98,0.248,0,0.012,0.028,0.044,0.036
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/leberre/2dimensionalstrippacking/E04F17.cnf.gz,1,25.148,2.836,10.264,5.264,2.692,4.408,2.264,0.076,?,1.992,0.124,0.004,0.012,0.02,0.032,0.024
industrial/SAT-Challenge-2012/SATChallenge2012_Application/satCompetition2011Unselected/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.140-NOTKNOWN.cnf.gz,1,374.4,52.052,25.312,20.216,17.84,26.272,17.148,4.788,?,?,?,0,0.912,1.04,2.396,3.232
