@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute Basic numeric
@attribute CG numeric
@attribute DIAMETER numeric
@attribute KLB numeric
@attribute Pre numeric
@attribute cl numeric
@attribute lobjois numeric
@attribute ls_gsat numeric
@attribute ls_saps numeric
@attribute sp numeric

@data
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0,0,0,0,0,1.99,1.47,0.66,0.38,0.01
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.38,0,0,0,0.02,1.64,0.68,0.41,0
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,1,0,1.39,0,0,0,1.99,2,1.65,0.99,0.02
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_220.shuffled.cnf,1,0,6.43,0.04,0,0,1.99,2,2.22,2.13,0.06
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_110.shuffled.cnf,1,0,3.95,0.01,0,0,1.99,2,2.18,2.14,0.03
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0,6.53,0.02,0,0,1.99,2,2.18,2.12,0.05
./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,1,0,60.03,0,0,0,0.02,2,1.46,0.86,0.06
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0,1.05,0.96,0.01,0.07,1.99,2,2.4,2.16,0.11
./SAT02/handmade/simon/satex-challenges/f600.shuffled.cnf,1,0,0.05,0.07,0,0,1.98,2,2.5,2.27,0.02
./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,0,9.13,0.24,0,0.03,1.99,2,2.46,2.21,0.05
./SAT02/handmade/zhang-lintao/xor-chain/x1_40.shuffled.cnf,1,0,0,0,0,0,2,1.59,0.7,0.42,0
./SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0,0.01,0,0,0,2,2,1.67,1.06,0
./SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf,1,0.01,60.61,0.45,0,0.07,2,2,2.08,2.08,0.57
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf,1,0.01,63.71,1.32,0.06,0.27,1.98,2.01,2.13,2.11,1.81
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf,1,0.01,63.44,1.38,0.07,0.27,2.01,2.01,2.13,2.12,1.84
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0.01,63.56,1.28,0.06,0.26,2,2,2.1,2.1,1.73
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0,60.01,1.83,0.02,0.26,1.99,2,2.1,2.06,1.37
./SAT03/handmade/anton/UNSAT/SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf,1,0.01,62.06,0.81,0.05,0.22,1.99,2,2.1,2.11,1.5
./SAT03/handmade/anton/UNSAT/SGI_30_60_28_40_7-log.shuffled-as.sat03-127.cnf,1,0.01,61.05,1.26,0.07,0.27,2,2,2.14,2.12,1.84
./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf,1,0.01,60.01,2.01,0.03,0.39,1.99,2.01,2.1,2.1,2.19
./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-dir.shuffled-as.sat03-136.cnf,1,0,60.01,0.61,0.01,0.18,2.01,2,2.09,2.07,0.98
./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf,1,0,60.44,0.19,0.03,0.11,1.99,2,2.08,2.06,0.77
./SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,0.01,60.04,1.25,0.01,0.29,2.01,2,2.07,2.06,1.32
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0.01,60.22,0.43,0.03,0.16,2,2,2.08,2.07,1.15
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0,60.01,1.68,0.02,0.32,1.99,2,2.07,2.07,1.76
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0,61.06,1.53,0.02,0.29,1.99,2,2.08,2.09,1.4
./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf,1,0.01,62.28,0.54,0.04,0.17,2,2,2.09,2.09,1.25
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.01,60.01,2.01,0.01,0.36,1.99,2,2.08,2.09,1.71
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.01,60.01,2.01,0.02,0.43,2,2.01,2.11,2.07,2.15
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf,1,0.01,60.01,2.01,0.03,0.58,2.01,2,2.09,2.06,2.18
./SAT03/handmade/anton/UNSAT/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,1,0.01,60.01,2.01,0.02,0.37,2,2,2.1,2.07,2.06
./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf,1,0.01,60.01,2.01,0.03,0.65,2,2,2.1,2.07,2.34
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.01,62.83,0.27,0.02,0.12,1.99,2,2.08,2.06,0.9
./SAT03/handmade/anton/UNSAT/SGI_30_80_28_70_8-dir.shuffled-as.sat03-215.cnf,1,0.01,60.01,2.01,0.05,0.37,2,2.01,2.09,2.07,2.22
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0,0.02,0,0,0,1.32,1.11,0.4,0.23,0
./SAT03/handmade/bevan/cnf/marg3x3add8ch.shuffled-as.sat03-1448.cnf,1,0,0.04,0,0,0,1.99,1.4,0.44,0.26,0
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.01,0.72,2.01,0.07,0.11,1.99,2,2.13,2.11,0.29
./SAT03/handmade/gomes/bqwh/bqwh.60.1152.shuffled-as.sat03-1650.cnf,1,0.01,1.46,2.01,0.17,0.19,2,2,2.12,2.09,0.53
./SAT03/handmade/markstrom/UNSATISFIABLE/mm-2x2-6-6-s.1.shuffled-as.sat03-1499.cnf,1,0,0.36,0.05,0,0,1.99,2,2.4,2.24,0.03
./SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,1,0,0.07,0,0,0,1.98,2,1.92,1.37,0.01
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0,0.07,0.01,0,0,1.98,2,2,1.38,0.01
