@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute nvarsOrig numeric
@attribute nclausesOrig numeric
@attribute nvars numeric
@attribute nclauses numeric
@attribute reducedVars numeric
@attribute reducedClauses numeric
@attribute vars_clauses_ratio numeric
@attribute POSNEG_RATIO_CLAUSE_mean numeric
@attribute POSNEG_RATIO_CLAUSE_coeff_variation numeric
@attribute POSNEG_RATIO_CLAUSE_min numeric
@attribute POSNEG_RATIO_CLAUSE_max numeric
@attribute POSNEG_RATIO_CLAUSE_entropy numeric
@attribute VCG_CLAUSE_mean numeric
@attribute VCG_CLAUSE_coeff_variation numeric
@attribute VCG_CLAUSE_min numeric
@attribute VCG_CLAUSE_max numeric
@attribute VCG_CLAUSE_entropy numeric
@attribute UNARY numeric
@attribute BINARYp numeric
@attribute TRINARYp numeric
@attribute VCG_VAR_mean numeric
@attribute VCG_VAR_coeff_variation numeric
@attribute VCG_VAR_min numeric
@attribute VCG_VAR_max numeric
@attribute VCG_VAR_entropy numeric
@attribute POSNEG_RATIO_VAR_mean numeric
@attribute POSNEG_RATIO_VAR_stdev numeric
@attribute POSNEG_RATIO_VAR_min numeric
@attribute POSNEG_RATIO_VAR_max numeric
@attribute POSNEG_RATIO_VAR_entropy numeric
@attribute HORNY_VAR_mean numeric
@attribute HORNY_VAR_coeff_variation numeric
@attribute HORNY_VAR_min numeric
@attribute HORNY_VAR_max numeric
@attribute HORNY_VAR_entropy numeric
@attribute horn_clauses_fraction numeric
@attribute VG_mean numeric
@attribute VG_coeff_variation numeric
@attribute VG_min numeric
@attribute VG_max numeric
@attribute CG_mean numeric
@attribute CG_coeff_variation numeric
@attribute CG_min numeric
@attribute CG_max numeric
@attribute CG_entropy numeric
@attribute cluster_coeff_mean numeric
@attribute cluster_coeff_coeff_variation numeric
@attribute cluster_coeff_min numeric
@attribute cluster_coeff_max numeric
@attribute cluster_coeff_entropy numeric
@attribute DIAMETER_mean numeric
@attribute DIAMETER_coeff_variation numeric
@attribute DIAMETER_min numeric
@attribute DIAMETER_max numeric
@attribute DIAMETER_entropy numeric
@attribute cl_num_mean numeric
@attribute cl_num_coeff_variation numeric
@attribute cl_num_min numeric
@attribute cl_num_max numeric
@attribute cl_num_q90 numeric
@attribute cl_num_q10 numeric
@attribute cl_num_q75 numeric
@attribute cl_num_q25 numeric
@attribute cl_num_q50 numeric
@attribute cl_size_mean numeric
@attribute cl_size_coeff_variation numeric
@attribute cl_size_min numeric
@attribute cl_size_max numeric
@attribute cl_size_q90 numeric
@attribute cl_size_q10 numeric
@attribute cl_size_q75 numeric
@attribute cl_size_q25 numeric
@attribute cl_size_q50 numeric
@attribute SP_bias_mean numeric
@attribute SP_bias_coeff_variation numeric
@attribute SP_bias_min numeric
@attribute SP_bias_max numeric
@attribute SP_bias_q90 numeric
@attribute SP_bias_q10 numeric
@attribute SP_bias_q75 numeric
@attribute SP_bias_q25 numeric
@attribute SP_bias_q50 numeric
@attribute SP_unconstraint_mean numeric
@attribute SP_unconstraint_coeff_variation numeric
@attribute SP_unconstraint_min numeric
@attribute SP_unconstraint_max numeric
@attribute SP_unconstraint_q90 numeric
@attribute SP_unconstraint_q10 numeric
@attribute SP_unconstraint_q75 numeric
@attribute SP_unconstraint_q25 numeric
@attribute SP_unconstraint_q50 numeric
@attribute saps_BestSolution_Mean numeric
@attribute saps_BestSolution_CoeffVariance numeric
@attribute saps_FirstLocalMinStep_Mean numeric
@attribute saps_FirstLocalMinStep_CoeffVariance numeric
@attribute saps_FirstLocalMinStep_Median numeric
@attribute saps_FirstLocalMinStep_Q10 numeric
@attribute saps_FirstLocalMinStep_Q90 numeric
@attribute saps_BestAvgImprovement_Mean numeric
@attribute saps_BestAvgImprovement_CoeffVariance numeric
@attribute saps_FirstLocalMinRatio_Mean numeric
@attribute saps_FirstLocalMinRatio_CoeffVariance numeric
@attribute gsat_BestSolution_Mean numeric
@attribute gsat_BestSolution_CoeffVariance numeric
@attribute gsat_FirstLocalMinStep_Mean numeric
@attribute gsat_FirstLocalMinStep_CoeffVariance numeric
@attribute gsat_FirstLocalMinStep_Median numeric
@attribute gsat_FirstLocalMinStep_Q10 numeric
@attribute gsat_FirstLocalMinStep_Q90 numeric
@attribute gsat_BestAvgImprovement_Mean numeric
@attribute gsat_BestAvgImprovement_CoeffVariance numeric
@attribute gsat_FirstLocalMinRatio_Mean numeric
@attribute gsat_FirstLocalMinRatio_CoeffVariance numeric
@attribute lobjois_mean_depth_over_vars numeric
@attribute lobjois_log_num_nodes_over_vars numeric

@data
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,99,264,72,264,0.375,0,0.2727,0.3939,0.8418,0,1,1.289,0.053,0.101,0.0417,0.0556,0.4741,0,0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0,0,0,0,0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5,6,0.5156,3147.3,0.1135,2706,3848,3848,2841,3117,2891,3089,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0,0,0,0,0,0,0,0,0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8,6,10,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8,6,10,1.0672,0.3603,0.761,0.1447,0.9922,0.9986
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,30,420,30,420,0,0,0.0714,0.3737,0.7276,0,1,1.4646,0.1562,0.1105,0.1,0.1667,0.6882,0,0,0.0262,0.1562,0.0238,0.1476,0.1643,1.6996,0.0235,0.0194,0,0.0625,1.4434,0.0346,0.2273,0.0214,0.0548,2.3035,0.231,0.069,0,0.069,0.069,0.3232,0.1006,0.2048,0.3714,3.4007,0.3168,0.0366,0.2793,0.357,1.6063,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696,0.5914,0.007,0.1644,0.1298,0.0179,0.0943,0.0355,0.0704,0.0049,0.3152,0.0027,0.0087,0.0084,0.0033,0.0053,0.004,0.0047,3.62,0.3712,6.5473,0.2536,6,4,9,1.8582,0.3301,0.9092,0.1297,2.9395,0.3709,6.5353,0.2572,6,4,9,1.4998,0.4393,0.862,0.1487,0.6533,0.7689
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,1,60,936,60,936,0,0,0.0641,0.3719,0.7008,0,1,1.2762,0.0805,0.082,0.05,0.0833,0.4757,0,0,0.0075,0.0805,0.0189,0.0769,0.0833,1.7283,0.0174,0.0138,0,0.0556,1.3482,0.0167,0.2288,0.0075,0.0246,2.5943,0.2105,0.0629,0.0063,0.062,0.063,0.1824,0.0796,0.1132,0.2009,3.1411,0.1766,0.0468,0.1461,0.2011,1.289,2.1695,0.1729,2,3,0.4551,4460.1667,0.0052,4438,4510,4510,4438,4459,4448,4455,15.3845,0.0099,15.2123,15.6166,15.6166,15.2123,15.5566,15.2678,15.3743,0.0445,0.7669,0.0044,0.1849,0.0859,0.0082,0.059,0.0172,0.0397,0.0042,0.2217,0.0027,0.0063,0.0055,0.0029,0.0048,0.0034,0.0042,5.0653,0.3522,11.8687,0.2026,12,9,15,1.6243,0.2847,0.882,0.1028,4.1504,0.3674,11.8999,0.2038,12,9,15,1.249,0.4342,0.8546,0.1061,0.6115,0.7622
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_220.shuffled.cnf,1,220,3432,220,3432,0,0,0.0641,0.3715,0.6637,0,1,0.9981,0.0225,0.0431,0.0136,0.0227,0.1898,0,0,0.0006,0.0225,0.01,0.0219,0.0227,1.0701,0.0066,0.0082,0,0.0263,0.8816,0.0043,0.2338,0.002,0.0073,2.6091,0.1911,0.0483,0.0283,0.0446,0.0519,0.0548,0.0443,0.0332,0.0568,2.3648,0.0597,0.0877,0.0456,0.0813,0.8966,3,0,3,3,0,3972.4286,0.0393,3862,4305,4305,3862,4097,3862,3883,44.8123,0.0191,43.7532,46.2724,46.2724,43.7532,45.7533,43.8499,44.6987,0.0235,0.8221,0.0001,0.0936,0.0508,0.0024,0.0333,0.0098,0.0192,0.0064,0.0972,0.0044,0.0076,0.0072,0.0056,0.0069,0.006,0.0064,8.5144,0.3406,39.1992,0.1153,39,33,45,1.1968,0.2353,0.8559,0.0569,6.9131,0.3366,39.1843,0.1174,39,33,45,0.6477,0.4376,0.8424,0.0548,0.5613,0.7223
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_110.shuffled.cnf,1,110,1892,110,1892,0,0,0.0581,0.3744,0.6786,0,1,1.1042,0.0447,0.0564,0.0273,0.0455,0.2835,0,0,0.0016,0.0447,0.0144,0.0428,0.0455,1.4771,0.008,0.0079,0,0.037,0.9627,0.0085,0.2023,0.0037,0.0127,2.5543,0.1908,0.0551,0.021,0.0486,0.0576,0.1062,0.0566,0.0634,0.1126,2.7915,0.1048,0.0625,0.0836,0.1265,1.0764,2.9908,0.0319,2,3,0.0522,4235.5714,0.0208,4060,4383,4383,4060,4272,4215,4243,25.5122,0.0073,25.2953,25.9227,25.9227,25.2953,25.594,25.4066,25.4478,0.0258,0.7665,0.0004,0.1145,0.0509,0.0046,0.0345,0.0105,0.0227,0.0032,0.1346,0.002,0.0043,0.0037,0.0026,0.0035,0.0029,0.0032,7.9615,0.2981,20.9306,0.1611,21,17,25,1.4423,0.2505,0.8663,0.0787,6.93,0.3028,20.965,0.1602,21,17,25,1.0085,0.4355,0.8493,0.0782,0.5735,0.7382
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,170,2924,170,2924,0,0,0.0581,0.3779,0.6696,0,1,1.043,0.0291,0.0467,0.0176,0.0294,0.2162,0,0,0.0003,0.0291,0.0121,0.0277,0.0294,1.2942,0.0079,0.0094,0,0.0488,1.0364,0.0056,0.1899,0.0021,0.0079,2.5089,0.1925,0.0502,0.0257,0.0455,0.0534,0.0702,0.048,0.041,0.0735,2.6021,0.0723,0.0756,0.0556,0.0932,0.9351,3,0,3,3,0,4075.5714,0.0271,3901,4277,4277,3901,4158,3993,4077,36.0782,0.0259,35.0743,37.6111,37.6111,35.0743,37.2436,35.2683,35.5214,0.0249,0.8514,0.0005,0.1322,0.0522,0.0036,0.034,0.0077,0.0191,0.0035,0.1059,0.0026,0.0043,0.0039,0.0029,0.0037,0.0032,0.0034,10.306,0.2783,31.4754,0.1347,31,26,37,1.3049,0.2378,0.8577,0.0653,9.0018,0.2737,31.7495,0.1328,32,26,37,0.8235,0.4397,0.848,0.063,0.5555,0.7388
./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,1,20,1532,20,1532,0,0,0.0131,0.3193,0.6873,0.1429,1,1.0258,0.35,0,0.35,0.35,0,0,0,0,0.35,0.0276,0.3349,0.3688,2.7616,0.0296,0.0232,0.0037,0.0811,1.9831,0.024,0.1189,0.0196,0.0294,2.432,0.0685,0.0124,0,0.0124,0.0124,?,?,?,?,?,?,?,?,?,?,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0.7744,0.0022,0.0686,0.0634,0.0078,0.0423,0.0095,0.0214,0.4237,0.0047,0.4197,0.4269,0.4267,0.4213,0.4252,0.4225,0.4237,2.5652,0.4769,4.0666,0.2999,4,3,6,2.5884,0.4455,0.9314,0.1569,1.9969,0.5272,4.0605,0.3005,4,3,6,2.159,0.5171,0.8724,0.1982,0.8122,0.8521
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,5008,14813,1978,8702,1.5319,0.7023,0.2273,0.4775,0.7424,0,1,1.2015,0.0015,0.571,0.001,0.0319,0.9063,0,0.2396,0.8762,0.0015,1.1141,0.0009,0.0159,1.2303,0.1032,0.1153,0,0.5556,1.2453,0.0007,1.0236,0.0001,0.008,1.9041,0.5419,0.0013,1.3821,0.0006,0.0138,0.0044,1.0505,0.0009,0.0163,2.9571,0.1235,0.7017,0.0144,0.5818,2.3953,6.1168,0.0845,4,7,0.7634,996.8462,0.5472,477,2412,1640,530,1414,683,697,27.9922,0.1179,22.5911,34.7442,31.3898,23.2688,30.1887,26.2355,27.2943,0.1154,1.2881,0,0.8471,0.1946,0.0074,0.159,0.0083,0.0975,0.0332,0.834,0,0.2091,0.0372,0.0206,0.0365,0.021,0.0297,97.9036,0.3683,392.243,0.0706,394,374,412,0.6973,0.3462,0.8388,0.0715,108.052,0.1444,391.695,0.0377,391,373,411,0.284,0.4734,0.8432,0.0178,0.1566,0.4333
./SAT02/handmade/simon/satex-challenges/f600.shuffled.cnf,1,600,2550,588,2537,0.0204,0.0051,0.2318,0.5006,0.5791,0,1,0.6649,0.0051,0.0527,0.0051,0.0085,0.1183,0,0,0.9752,0.0051,0.2626,0.002,0.0099,2.6235,0.2367,0.182,0,1,3.3924,0.0027,0.3677,0,0.0063,2.3268,0.5262,0.0102,0.26,0.0039,0.0197,0.0076,0.2305,0.0028,0.0142,2.9008,0.1084,0.2433,0.0556,0.2778,2.2775,4,0,4,4,0,3744.4286,0.0177,3635,3826,3826,3635,3824,3690,3729,33.2907,0.0859,30.5214,39.0994,39.0994,30.5214,35.7598,30.6762,32.1927,0.4124,0.5608,0.0013,1,0.7395,0.1135,0.5834,0.2135,0.4024,0.0918,0.6066,0.008,0.298,0.1771,0.0326,0.1212,0.0509,0.0788,18.2723,0.426,131.105,0.0682,131,120,142,0.9037,0.2052,0.8552,0.0382,14.6103,0.3116,130.913,0.069,131,120,142,0.3157,0.4116,0.8456,0.0364,0.3172,0.5474
./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,3176,10297,866,5117,2.6674,1.0123,0.1692,0.4183,0.8047,0,1,1.3808,0.0041,0.1804,0.0023,0.0058,0.8658,0,0.0805,0.3543,0.0041,2.0353,0.0016,0.0594,1.6381,0.0261,0.084,0,0.4667,0.4872,0.0016,1.7952,0.0004,0.0209,2.0506,0.4086,0.0016,1.5064,0.001,0.018,0.0353,0.5632,0.001,0.0733,4.2844,0.1983,0.485,0.0689,0.619,3.2728,8.2451,0.13,6,10,1.415,4490,0.0262,4368,4649,4649,4368,4649,4368,4453,41.9453,0.0158,41.3719,42.8755,42.8755,41.3719,42.8755,41.3719,41.5885,0.0911,2.13,0,0.7742,0.2859,0,0.0758,0,0,0.089,0.5739,0,0.1868,0.1379,0.0224,0.1309,0.0275,0.1204,41.7216,0.2256,142.232,0.0542,142,133,152,0.5539,0.2025,0.766,0.036,44.5087,0.1507,142.75,0.0544,143,134,153,0.236,0.3065,0.772,0.0326,0.3345,0.9002
