@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute algorithm string
@attribute runtime numeric
@attribute runstatus string

@data
national_ca4663,1,eax,3600,timeout
national_gr9882,1,eax,3600,timeout
national_lu980,1,eax,3600,timeout
national_mu1979,1,eax,14.535,ok
national_nu3496,1,eax,3600,timeout
national_rw1621,1,eax,3600,timeout
national_uy734,1,eax,4.37,ok
national_zi929,1,eax,6.56,ok
rue_1000-1,1,eax,7.65,ok
rue_1000-10,1,eax,8.81,ok
rue_1000-1000,1,eax,8.62,ok
rue_1000-101,1,eax,9.725,ok
rue_1000-102,1,eax,8.285,ok
rue_1000-103,1,eax,7.695,ok
rue_1000-104,1,eax,8.625,ok
rue_1000-105,1,eax,11.6,ok
rue_1000-106,1,eax,8.935,ok
rue_1000-107,1,eax,8.32,ok
rue_1000-108,1,eax,8.04,ok
rue_1000-109,1,eax,8.835,ok
rue_1000-11,1,eax,8.465,ok
rue_1000-110,1,eax,8.605,ok
rue_1000-111,1,eax,8.565,ok
rue_1000-112,1,eax,8.255,ok
rue_1000-113,1,eax,7.98,ok
rue_1000-114,1,eax,3600,timeout
rue_1000-115,1,eax,7.69,ok
rue_1000-116,1,eax,9.125,ok
rue_1000-117,1,eax,7.91,ok
rue_1000-118,1,eax,8.07,ok
rue_1000-119,1,eax,3600,timeout
rue_1000-12,1,eax,3600,timeout
rue_1000-120,1,eax,8.32,ok
rue_1000-121,1,eax,7.975,ok
rue_1000-122,1,eax,8.39,ok
rue_1000-123,1,eax,8.555,ok
rue_1000-124,1,eax,7.38,ok
rue_1000-125,1,eax,7.075,ok
rue_1000-126,1,eax,8.885,ok
rue_1000-127,1,eax,7.67,ok
rue_1000-128,1,eax,11.26,ok
rue_1000-129,1,eax,6.73,ok
rue_1000-13,1,eax,8.36,ok
rue_1000-130,1,eax,8.395,ok
rue_1000-131,1,eax,7.075,ok
rue_1000-132,1,eax,7.605,ok
rue_1000-133,1,eax,3600,timeout
rue_1000-134,1,eax,6.315,ok
rue_1000-135,1,eax,3600,timeout
rue_1000-136,1,eax,7.87,ok
rue_1000-137,1,eax,10.51,ok
rue_1000-138,1,eax,3600,timeout
rue_1000-139,1,eax,7.92,ok
rue_1000-14,1,eax,3600,timeout
rue_1000-140,1,eax,7.725,ok
rue_1000-141,1,eax,11.51,ok
rue_1000-142,1,eax,9.095,ok
rue_1000-143,1,eax,8.26,ok
rue_1000-144,1,eax,13.62,ok
rue_1000-145,1,eax,8.225,ok
rue_1000-146,1,eax,8.585,ok
rue_1000-147,1,eax,10.875,ok
rue_1000-148,1,eax,8.66,ok
rue_1000-149,1,eax,3600,timeout
rue_1000-15,1,eax,3600,timeout
rue_1000-150,1,eax,3600,timeout
rue_1000-151,1,eax,7.235,ok
rue_1000-152,1,eax,7.79,ok
rue_1000-153,1,eax,3600,timeout
rue_1000-154,1,eax,7.4,ok
rue_1000-155,1,eax,8.395,ok
rue_1000-156,1,eax,3600,timeout
rue_1000-157,1,eax,6.67,ok
rue_1000-158,1,eax,8.255,ok
rue_1000-159,1,eax,3600,timeout
rue_1000-16,1,eax,9.3,ok
rue_1000-160,1,eax,3600,timeout
rue_1000-161,1,eax,6.97,ok
rue_1000-162,1,eax,7.915,ok
rue_1000-163,1,eax,7.985,ok
rue_1000-164,1,eax,8.145,ok
rue_1000-165,1,eax,10.42,ok
rue_1000-166,1,eax,6.88,ok
rue_1000-167,1,eax,9.18,ok
rue_1000-168,1,eax,10.69,ok
rue_1000-169,1,eax,8.22,ok
rue_1000-17,1,eax,3600,timeout
rue_1000-170,1,eax,3600,timeout
rue_1000-171,1,eax,7.47,ok
rue_1000-172,1,eax,3600,timeout
rue_1000-173,1,eax,452.265,ok
rue_1000-174,1,eax,8.255,ok
rue_1000-175,1,eax,7.285,ok
rue_1000-176,1,eax,3600,timeout
rue_1000-177,1,eax,7.825,ok
rue_1000-178,1,eax,7.715,ok
rue_1000-179,1,eax,3600,timeout
rue_1000-18,1,eax,7.255,ok
rue_1000-180,1,eax,8.42,ok
rue_1000-181,1,eax,7.78,ok
rue_1000-182,1,eax,7.22,ok
rue_1000-183,1,eax,3600,timeout
rue_1000-184,1,eax,7.53,ok
rue_1000-185,1,eax,3600,timeout
rue_1000-186,1,eax,7.565,ok
rue_1000-187,1,eax,3600,timeout
rue_1000-188,1,eax,9.545,ok
rue_1000-189,1,eax,8.27,ok
rue_1000-19,1,eax,7.42,ok
rue_1000-190,1,eax,3600,timeout
rue_1000-191,1,eax,7.635,ok
rue_1000-192,1,eax,7.78,ok
rue_1000-193,1,eax,7.285,ok
rue_1000-194,1,eax,7.565,ok
rue_1000-195,1,eax,3600,timeout
rue_1000-196,1,eax,7.305,ok
rue_1000-197,1,eax,6.63,ok
rue_1000-198,1,eax,7.795,ok
rue_1000-199,1,eax,3600,timeout
rue_1000-2,1,eax,7.71,ok
rue_1000-20,1,eax,7.4,ok
rue_1000-200,1,eax,7.92,ok
rue_1000-201,1,eax,7.625,ok
rue_1000-202,1,eax,7.66,ok
rue_1000-203,1,eax,3600,timeout
rue_1000-204,1,eax,7.375,ok
rue_1000-205,1,eax,6.865,ok
rue_1000-206,1,eax,7.885,ok
rue_1000-207,1,eax,3600,timeout
rue_1000-208,1,eax,8.075,ok
rue_1000-209,1,eax,3600,timeout
rue_1000-21,1,eax,7.72,ok
rue_1000-210,1,eax,7.22,ok
rue_1000-211,1,eax,3600,timeout
rue_1000-212,1,eax,6.35,ok
rue_1000-213,1,eax,6.99,ok
rue_1000-214,1,eax,7.225,ok
rue_1000-215,1,eax,8.18,ok
rue_1000-216,1,eax,3600,timeout
rue_1000-217,1,eax,3600,timeout
rue_1000-218,1,eax,8.015,ok
rue_1000-219,1,eax,8.055,ok
rue_1000-22,1,eax,8.16,ok
rue_1000-220,1,eax,7.565,ok
rue_1000-221,1,eax,7.74,ok
rue_1000-222,1,eax,9.015,ok
rue_1000-223,1,eax,7.79,ok
rue_1000-224,1,eax,7.56,ok
rue_1000-225,1,eax,8.425,ok
rue_1000-226,1,eax,7.36,ok
rue_1000-227,1,eax,3600,timeout
rue_1000-228,1,eax,3600,timeout
rue_1000-229,1,eax,7.63,ok
rue_1000-23,1,eax,8.28,ok
rue_1000-230,1,eax,6.98,ok
rue_1000-231,1,eax,8.86,ok
rue_1000-232,1,eax,6.845,ok
rue_1000-233,1,eax,6.885,ok
rue_1000-234,1,eax,7.28,ok
rue_1000-235,1,eax,7.58,ok
rue_1000-236,1,eax,7.61,ok
