@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric

@data
rue_1000-1,1,1
rue_1000-103,1,1
rue_1000-115,1,1
rue_1000-127,1,1
rue_1000-146,1,1
rue_1000-166,1,1
rue_1000-182,1,1
rue_1000-184,1,1
rue_1000-188,1,1
rue_1000-189,1,1
rue_1000-204,1,1
rue_1000-219,1,1
rue_1000-221,1,1
rue_1000-240,1,1
rue_1000-244,1,1
rue_1000-256,1,1
rue_1000-27,1,1
rue_1000-290,1,1
rue_1000-296,1,1
rue_1000-308,1,1
rue_1000-310,1,1
rue_1000-312,1,1
rue_1000-315,1,1
rue_1000-332,1,1
rue_1000-348,1,1
rue_1000-353,1,1
rue_1000-355,1,1
rue_1000-361,1,1
rue_1000-366,1,1
rue_1000-370,1,1
rue_1000-374,1,1
rue_1000-387,1,1
rue_1000-395,1,1
rue_1000-400,1,1
rue_1000-402,1,1
rue_1000-403,1,1
rue_1000-405,1,1
rue_1000-407,1,1
rue_1000-411,1,1
rue_1000-413,1,1
rue_1000-421,1,1
rue_1000-426,1,1
rue_1000-429,1,1
rue_1000-43,1,1
rue_1000-445,1,1
rue_1000-470,1,1
rue_1000-471,1,1
rue_1000-484,1,1
rue_1000-507,1,1
rue_1000-508,1,1
rue_1000-510,1,1
rue_1000-511,1,1
rue_1000-532,1,1
rue_1000-539,1,1
rue_1000-541,1,1
rue_1000-561,1,1
rue_1000-57,1,1
rue_1000-576,1,1
rue_1000-581,1,1
rue_1000-585,1,1
rue_1000-587,1,1
rue_1000-595,1,1
rue_1000-596,1,1
rue_1000-605,1,1
rue_1000-608,1,1
rue_1000-610,1,1
rue_1000-614,1,1
rue_1000-633,1,1
rue_1000-648,1,1
rue_1000-656,1,1
rue_1000-665,1,1
rue_1000-673,1,1
rue_1000-696,1,1
rue_1000-697,1,1
rue_1000-701,1,1
rue_1000-739,1,1
rue_1000-748,1,1
rue_1000-759,1,1
rue_1000-766,1,1
rue_1000-769,1,1
rue_1000-780,1,1
rue_1000-798,1,1
rue_1000-809,1,1
rue_1000-814,1,1
rue_1000-833,1,1
rue_1000-834,1,1
rue_1000-835,1,1
rue_1000-842,1,1
rue_1000-845,1,1
rue_1000-862,1,1
rue_1000-863,1,1
rue_1000-872,1,1
rue_1000-885,1,1
rue_1000-896,1,1
rue_1000-904,1,1
rue_1000-905,1,1
rue_1000-911,1,1
rue_1000-921,1,1
rue_1000-924,1,1
rue_1000-957,1,1
rue_1000-960,1,1
rue_1000-966,1,1
rue_1000-988,1,1
rue_1000-992,1,1
rue_1500-1000,1,1
rue_1500-128,1,1
rue_1500-139,1,1
rue_1500-14,1,1
rue_1500-142,1,1
rue_1500-144,1,1
rue_1500-147,1,1
rue_1500-181,1,1
rue_1500-191,1,1
rue_1500-192,1,1
rue_1500-194,1,1
rue_1500-200,1,1
rue_1500-212,1,1
rue_1500-219,1,1
rue_1500-226,1,1
rue_1500-227,1,1
rue_1500-229,1,1
rue_1500-257,1,1
rue_1500-27,1,1
rue_1500-271,1,1
rue_1500-279,1,1
rue_1500-28,1,1
rue_1500-288,1,1
rue_1500-3,1,1
rue_1500-307,1,1
rue_1500-318,1,1
rue_1500-343,1,1
rue_1500-36,1,1
rue_1500-368,1,1
rue_1500-377,1,1
rue_1500-38,1,1
rue_1500-401,1,1
rue_1500-436,1,1
rue_1500-439,1,1
rue_1500-44,1,1
rue_1500-445,1,1
rue_1500-45,1,1
rue_1500-468,1,1
rue_1500-469,1,1
rue_1500-477,1,1
rue_1500-488,1,1
rue_1500-492,1,1
rue_1500-505,1,1
rue_1500-508,1,1
rue_1500-519,1,1
rue_1500-525,1,1
rue_1500-533,1,1
rue_1500-534,1,1
rue_1500-538,1,1
rue_1500-543,1,1
rue_1500-550,1,1
rue_1500-565,1,1
rue_1500-575,1,1
rue_1500-576,1,1
rue_1500-580,1,1
rue_1500-594,1,1
rue_1500-610,1,1
rue_1500-618,1,1
rue_1500-632,1,1
rue_1500-654,1,1
rue_1500-665,1,1
rue_1500-670,1,1
rue_1500-679,1,1
rue_1500-703,1,1
rue_1500-718,1,1
rue_1500-731,1,1
rue_1500-756,1,1
rue_1500-760,1,1
rue_1500-786,1,1
rue_1500-790,1,1
rue_1500-791,1,1
rue_1500-813,1,1
rue_1500-824,1,1
rue_1500-834,1,1
rue_1500-846,1,1
rue_1500-847,1,1
rue_1500-85,1,1
rue_1500-857,1,1
rue_1500-865,1,1
rue_1500-867,1,1
rue_1500-885,1,1
rue_1500-886,1,1
rue_1500-907,1,1
rue_1500-91,1,1
rue_1500-916,1,1
rue_1500-929,1,1
rue_1500-937,1,1
rue_1500-946,1,1
rue_1500-948,1,1
rue_1500-95,1,1
rue_1500-956,1,1
rue_1500-96,1,1
rue_1500-960,1,1
rue_1500-965,1,1
rue_1500-966,1,1
rue_1500-974,1,1
rue_1500-986,1,1
rue_2000-106,1,1
rue_2000-11,1,1
rue_2000-110,1,1
