@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute ubc_cheap numeric
@attribute ubc_all numeric
@attribute tspmeta numeric
@attribute eax_probing numeric

@data
national_ca4663,1,2.42,408.63,7.4,11.995
national_gr9882,1,10.43,1933.77,22.9,28.82
national_lu980,1,0.22,3.06,2.33,1.08
national_mu1979,1,0.68,21.32,3.55,2.925
national_nu3496,1,0.87,90.71,4.36,4.965
national_rw1621,1,0.34,4.9,2.95,1.41
national_uy734,1,0.33,4.05,3.63,1.055
national_zi929,1,0.34,6.82,3.6,1.3
rue_1000-1,1,0.66,7.55,3.69,1.865
rue_1000-10,1,0.55,10.08,3.54,1.85
rue_1000-1000,1,0.43,5.83,3.37,1.875
rue_1000-101,1,0.33,6.38,3.8,1.775
rue_1000-102,1,0.53,6.63,4.06,1.865
rue_1000-103,1,0.33,7.28,3.97,1.895
rue_1000-104,1,0.7,5.3,4.39,1.855
rue_1000-105,1,0.51,6.26,3.77,1.86
rue_1000-106,1,0.37,6.07,3.55,1.845
rue_1000-107,1,0.43,6.97,3.54,1.835
rue_1000-108,1,0.38,5.76,3.54,1.84
rue_1000-109,1,0.43,6.67,3.34,1.825
rue_1000-11,1,0.75,5.65,4.13,1.82
rue_1000-110,1,0.65,7.03,3.44,1.755
rue_1000-111,1,0.54,7.07,3.4,1.83
rue_1000-112,1,0.62,5.93,3.49,1.835
rue_1000-113,1,0.57,6.11,3.68,1.86
rue_1000-114,1,0.95,7.45,3.5,1.825
rue_1000-115,1,0.57,6.62,3.76,1.875
rue_1000-116,1,0.92,5.59,4.11,1.805
rue_1000-117,1,0.57,8.05,3.93,1.84
rue_1000-118,1,1.01,7.86,3.88,1.87
rue_1000-119,1,0.71,6.86,3.92,1.79
rue_1000-12,1,0.68,7.72,3.4,1.83
rue_1000-120,1,0.78,5.91,3.45,1.785
rue_1000-121,1,0.66,8.15,4.61,1.775
rue_1000-122,1,0.87,5.84,3.81,1.885
rue_1000-123,1,0.62,5.71,3.65,1.87
rue_1000-124,1,0.61,7.57,4.27,1.845
rue_1000-125,1,0.65,8.41,4.32,1.87
rue_1000-126,1,0.6,6.57,3.99,1.875
rue_1000-127,1,0.7,5.61,3.07,1.805
rue_1000-128,1,0.64,6.42,3.52,1.825
rue_1000-129,1,0.78,5.79,3.17,1.77
rue_1000-13,1,0.7,6.54,3.89,1.875
rue_1000-130,1,0.64,7.36,3.66,1.88
rue_1000-131,1,0.69,6.94,3.6,1.82
rue_1000-132,1,0.61,6.05,3.34,1.85
