@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute ubc_cheap {ok,timeout,memout,presolved,crash,other,unknown}
@attribute ubc_all {ok,timeout,memout,presolved,crash,other,unknown}
@attribute tspmeta {ok,timeout,memout,presolved,crash,other,unknown}
@attribute eax_probing {ok,timeout,memout,presolved,crash,other,unknown}

@data
national_ca4663,1,ok,ok,ok,ok
national_gr9882,1,ok,ok,ok,ok
national_lu980,1,ok,ok,ok,ok
national_mu1979,1,ok,ok,ok,ok
national_nu3496,1,ok,ok,ok,ok
national_rw1621,1,ok,ok,ok,ok
national_uy734,1,ok,ok,ok,ok
national_zi929,1,ok,ok,ok,ok
rue_1000-1,1,ok,ok,ok,ok
rue_1000-10,1,ok,ok,ok,ok
rue_1000-1000,1,ok,ok,ok,ok
rue_1000-101,1,ok,ok,ok,ok
rue_1000-102,1,ok,ok,ok,ok
rue_1000-103,1,ok,ok,ok,ok
rue_1000-104,1,ok,ok,ok,ok
rue_1000-105,1,ok,ok,ok,ok
rue_1000-106,1,ok,ok,ok,ok
rue_1000-107,1,ok,ok,ok,ok
rue_1000-108,1,ok,ok,ok,ok
rue_1000-109,1,ok,ok,ok,ok
rue_1000-11,1,ok,ok,ok,ok
rue_1000-110,1,ok,ok,ok,ok
rue_1000-111,1,ok,ok,ok,ok
rue_1000-112,1,ok,ok,ok,ok
rue_1000-113,1,ok,ok,ok,ok
rue_1000-114,1,ok,ok,ok,ok
rue_1000-115,1,ok,ok,ok,ok
rue_1000-116,1,ok,ok,ok,ok
rue_1000-117,1,ok,ok,ok,ok
rue_1000-118,1,ok,ok,ok,ok
rue_1000-119,1,ok,ok,ok,ok
rue_1000-12,1,ok,ok,ok,ok
rue_1000-120,1,ok,ok,ok,ok
rue_1000-121,1,ok,ok,ok,ok
rue_1000-122,1,ok,ok,ok,ok
rue_1000-123,1,ok,ok,ok,ok
rue_1000-124,1,ok,ok,ok,ok
rue_1000-125,1,ok,ok,ok,ok
rue_1000-126,1,ok,ok,ok,ok
rue_1000-127,1,ok,ok,ok,ok
rue_1000-128,1,ok,ok,ok,ok
rue_1000-129,1,ok,ok,ok,ok
rue_1000-13,1,ok,ok,ok,ok
rue_1000-130,1,ok,ok,ok,ok
rue_1000-131,1,ok,ok,ok,ok
rue_1000-132,1,ok,ok,ok,ok
rue_1000-133,1,ok,ok,ok,ok
rue_1000-134,1,ok,ok,ok,ok
rue_1000-135,1,ok,ok,ok,ok
rue_1000-136,1,ok,ok,ok,ok
rue_1000-137,1,ok,ok,ok,ok
rue_1000-138,1,ok,ok,ok,ok
rue_1000-139,1,ok,ok,ok,ok
rue_1000-14,1,ok,ok,ok,ok
rue_1000-140,1,ok,ok,ok,ok
rue_1000-141,1,ok,ok,ok,ok
rue_1000-142,1,ok,ok,ok,ok
rue_1000-143,1,ok,ok,ok,ok
rue_1000-144,1,ok,ok,ok,ok
rue_1000-145,1,ok,ok,ok,ok
rue_1000-146,1,ok,ok,ok,ok
rue_1000-147,1,ok,ok,ok,ok
rue_1000-148,1,ok,ok,ok,ok
rue_1000-149,1,ok,ok,ok,ok
rue_1000-15,1,ok,ok,ok,ok
rue_1000-150,1,ok,ok,ok,ok
rue_1000-151,1,ok,ok,ok,ok
rue_1000-152,1,ok,ok,ok,ok
rue_1000-153,1,ok,ok,ok,ok
rue_1000-154,1,ok,ok,ok,ok
rue_1000-155,1,ok,ok,ok,ok
rue_1000-156,1,ok,ok,ok,ok
rue_1000-157,1,ok,ok,ok,ok
rue_1000-158,1,ok,ok,ok,ok
rue_1000-159,1,ok,ok,ok,ok
rue_1000-16,1,ok,ok,ok,ok
rue_1000-160,1,ok,ok,ok,ok
rue_1000-161,1,ok,ok,ok,ok
rue_1000-162,1,ok,ok,ok,ok
rue_1000-163,1,ok,ok,ok,ok
rue_1000-164,1,ok,ok,ok,ok
rue_1000-165,1,ok,ok,ok,ok
rue_1000-166,1,ok,ok,ok,ok
rue_1000-167,1,ok,ok,ok,ok
rue_1000-168,1,ok,ok,ok,ok
rue_1000-169,1,ok,ok,ok,ok
rue_1000-17,1,ok,ok,ok,ok
rue_1000-170,1,ok,ok,ok,ok
rue_1000-171,1,ok,ok,ok,ok
rue_1000-172,1,ok,ok,ok,ok
rue_1000-173,1,ok,ok,ok,ok
rue_1000-174,1,ok,ok,ok,ok
rue_1000-175,1,ok,ok,ok,ok
rue_1000-176,1,ok,ok,ok,ok
rue_1000-177,1,ok,ok,ok,ok
rue_1000-178,1,ok,ok,ok,ok
rue_1000-179,1,ok,ok,ok,ok
rue_1000-18,1,ok,ok,ok,ok
rue_1000-180,1,ok,ok,ok,ok
rue_1000-181,1,ok,ok,ok,ok
rue_1000-182,1,ok,ok,ok,ok
rue_1000-183,1,ok,ok,ok,ok
rue_1000-184,1,ok,ok,ok,ok
rue_1000-185,1,ok,ok,ok,ok
rue_1000-186,1,ok,ok,ok,ok
rue_1000-187,1,ok,ok,ok,ok
rue_1000-188,1,ok,ok,ok,ok
rue_1000-189,1,ok,ok,ok,ok
rue_1000-19,1,ok,ok,ok,ok
rue_1000-190,1,ok,ok,ok,ok
rue_1000-191,1,ok,ok,ok,ok
rue_1000-192,1,ok,ok,ok,ok
rue_1000-193,1,ok,ok,ok,ok
rue_1000-194,1,ok,ok,ok,ok
rue_1000-195,1,ok,ok,ok,ok
rue_1000-196,1,ok,ok,ok,ok
rue_1000-197,1,ok,ok,ok,ok
rue_1000-198,1,ok,ok,ok,ok
rue_1000-199,1,ok,ok,ok,ok
rue_1000-2,1,ok,ok,ok,ok
rue_1000-20,1,ok,ok,ok,ok
rue_1000-200,1,ok,ok,ok,ok
rue_1000-201,1,ok,ok,ok,ok
rue_1000-202,1,ok,ok,ok,ok
rue_1000-203,1,ok,ok,ok,ok
rue_1000-204,1,ok,ok,ok,ok
rue_1000-205,1,ok,ok,ok,ok
rue_1000-206,1,ok,ok,ok,ok
rue_1000-207,1,ok,ok,ok,ok
rue_1000-208,1,ok,ok,ok,ok
rue_1000-209,1,ok,ok,ok,ok
rue_1000-21,1,ok,ok,ok,ok
rue_1000-210,1,ok,ok,ok,ok
rue_1000-211,1,ok,ok,ok,ok
rue_1000-212,1,ok,ok,ok,ok
rue_1000-213,1,ok,ok,ok,ok
rue_1000-214,1,ok,ok,ok,ok
rue_1000-215,1,ok,ok,ok,ok
rue_1000-216,1,ok,ok,ok,ok
rue_1000-217,1,ok,ok,ok,ok
rue_1000-218,1,ok,ok,ok,ok
rue_1000-219,1,ok,ok,ok,ok
rue_1000-22,1,ok,ok,ok,ok
rue_1000-220,1,ok,ok,ok,ok
rue_1000-221,1,ok,ok,ok,ok
rue_1000-222,1,ok,ok,ok,ok
rue_1000-223,1,ok,ok,ok,ok
rue_1000-224,1,ok,ok,ok,ok
rue_1000-225,1,ok,ok,ok,ok
rue_1000-226,1,ok,ok,ok,ok
rue_1000-227,1,ok,ok,ok,ok
rue_1000-228,1,ok,ok,ok,ok
rue_1000-229,1,ok,ok,ok,ok
rue_1000-23,1,ok,ok,ok,ok
rue_1000-230,1,ok,ok,ok,ok
rue_1000-231,1,ok,ok,ok,ok
rue_1000-232,1,ok,ok,ok,ok
rue_1000-233,1,ok,ok,ok,ok
rue_1000-234,1,ok,ok,ok,ok
rue_1000-235,1,ok,ok,ok,ok
rue_1000-236,1,ok,ok,ok,ok
rue_1000-237,1,ok,ok,ok,ok
rue_1000-238,1,ok,ok,ok,ok
rue_1000-239,1,ok,ok,ok,ok
rue_1000-24,1,ok,ok,ok,ok
rue_1000-240,1,ok,ok,ok,ok
rue_1000-241,1,ok,ok,ok,ok
rue_1000-242,1,ok,ok,ok,ok
rue_1000-243,1,ok,ok,ok,ok
rue_1000-244,1,ok,ok,ok,ok
rue_1000-245,1,ok,ok,ok,ok
rue_1000-246,1,ok,ok,ok,ok
rue_1000-247,1,ok,ok,ok,ok
rue_1000-248,1,ok,ok,ok,ok
rue_1000-249,1,ok,ok,ok,ok
rue_1000-25,1,ok,ok,ok,ok
rue_1000-250,1,ok,ok,ok,ok
rue_1000-251,1,ok,ok,ok,ok
rue_1000-252,1,ok,ok,ok,ok
rue_1000-253,1,ok,ok,ok,ok
rue_1000-254,1,ok,ok,ok,ok
rue_1000-255,1,ok,ok,ok,ok
rue_1000-256,1,ok,ok,ok,ok
rue_1000-257,1,ok,ok,ok,ok
rue_1000-258,1,ok,ok,ok,ok
rue_1000-259,1,ok,ok,ok,ok
rue_1000-26,1,ok,ok,ok,ok
rue_1000-260,1,ok,ok,ok,ok
rue_1000-261,1,ok,ok,ok,ok
rue_1000-262,1,ok,ok,ok,ok
rue_1000-263,1,ok,ok,ok,ok
rue_1000-264,1,ok,ok,ok,ok
rue_1000-265,1,ok,ok,ok,ok
rue_1000-266,1,ok,ok,ok,ok
rue_1000-267,1,ok,ok,ok,ok
rue_1000-268,1,ok,ok,ok,ok
rue_1000-269,1,ok,ok,ok,ok
rue_1000-27,1,ok,ok,ok,ok
rue_1000-270,1,ok,ok,ok,ok
rue_1000-271,1,ok,ok,ok,ok
rue_1000-272,1,ok,ok,ok,ok
rue_1000-273,1,ok,ok,ok,ok
rue_1000-274,1,ok,ok,ok,ok
rue_1000-275,1,ok,ok,ok,ok
rue_1000-276,1,ok,ok,ok,ok
rue_1000-277,1,ok,ok,ok,ok
rue_1000-278,1,ok,ok,ok,ok
rue_1000-279,1,ok,ok,ok,ok
rue_1000-28,1,ok,ok,ok,ok
rue_1000-280,1,ok,ok,ok,ok
rue_1000-281,1,ok,ok,ok,ok
rue_1000-282,1,ok,ok,ok,ok
rue_1000-283,1,ok,ok,ok,ok
rue_1000-284,1,ok,ok,ok,ok
rue_1000-285,1,ok,ok,ok,ok
rue_1000-286,1,ok,ok,ok,ok
rue_1000-287,1,ok,ok,ok,ok
rue_1000-288,1,ok,ok,ok,ok
rue_1000-289,1,ok,ok,ok,ok
rue_1000-29,1,ok,ok,ok,ok
rue_1000-290,1,ok,ok,ok,ok
rue_1000-291,1,ok,ok,ok,ok
