@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute num_nodes numeric
@attribute cost_matrix_avg numeric
@attribute cost_matrix_std numeric
@attribute cost_matrix_skew numeric
@attribute stdTime numeric
@attribute mst_length numeric
@attribute mst_length_avg numeric
@attribute mst_length_std numeric
@attribute mst_length_skew numeric
@attribute mst_degree_avg numeric
@attribute mst_degree_std numeric
@attribute mst_degree_skew numeric
@attribute mstTime numeric
@attribute cluster_distance_avg numeric
@attribute cluster_distance_std numeric
@attribute cluster_distance_skew numeric
@attribute clusterTime numeric
@attribute tour_const_heu_avg numeric
@attribute tour_const_std numeric
@attribute tour_const_skew numeric
@attribute ls_impov_per_step_avg numeric
@attribute ls_impov_per_step_std numeric
@attribute ls_impov_per_step_skew numeric
@attribute ls_steps_2lm_avg numeric
@attribute ls_steps_2lm_std numeric
@attribute ls_steps_2lm_skew numeric
@attribute ls_maxdist_avg numeric
@attribute ls_maxdist_std numeric
@attribute ls_maxdist_skew numeric
@attribute ls_bestsol_avg numeric
@attribute ls_bestsol_std numeric
@attribute ls_bestsol_skew numeric
@attribute ls_backbone_avg numeric
@attribute ls_backbone_std numeric
@attribute ls_backbone_skew numeric
@attribute lpTime numeric
@attribute bc_improv_per_cut_avg numeric
@attribute bc_improv_per_cut_std numeric
@attribute bc_improv_per_cut_skew numeric
@attribute bc_upper_lower_ratio numeric
@attribute bc_no1s_min numeric
@attribute bc_no1s_q25 numeric
@attribute bc_no1s_q50 numeric
@attribute bc_no1s_q75 numeric
@attribute bc_no1s_max numeric
@attribute bc_p1s numeric
@attribute bc_pn1s numeric
@attribute bcTime numeric
@attribute acc numeric
@attribute acfTime numeric
@attribute angle_min numeric
@attribute angle_median numeric
@attribute angle_mean numeric
@attribute angle_max numeric
@attribute angle_sd numeric
@attribute angle_span numeric
@attribute angle_coef_of_var numeric
@attribute centroid_centroid_x numeric
@attribute centroid_centroid_y numeric
@attribute centroid_dist_min numeric
@attribute centroid_dist_median numeric
@attribute centroid_dist_mean numeric
@attribute centroid_dist_max numeric
@attribute centroid_dist_sd numeric
@attribute centroid_dist_span numeric
@attribute centroid_dist_coef_of_var numeric
@attribute cluster_01pct_number_of_clusters numeric
@attribute cluster_01pct_mean_distance_to_centroid numeric
@attribute cluster_05pct_number_of_clusters numeric
@attribute cluster_05pct_mean_distance_to_centroid numeric
@attribute cluster_10pct_number_of_clusters numeric
@attribute cluster_10pct_mean_distance_to_centroid numeric
@attribute bounding_box_10_ratio_of_cities_outside_box numeric
@attribute bounding_box_20_ratio_of_cities_outside_box numeric
@attribute bounding_box_30_ratio_of_cities_outside_box numeric
@attribute chull_area numeric
@attribute chull_points_on_hull numeric
@attribute distance_distances_shorter_mean_distance numeric
@attribute distance_distinct_distances numeric
@attribute distance_mode_frequency numeric
@attribute distance_mode_quantity numeric
@attribute distance_mode_mean numeric
@attribute distance_mean_tour_length numeric
@attribute distance_sum_of_lowest_edge_values numeric
@attribute distance_min numeric
@attribute distance_median numeric
@attribute distance_mean numeric
@attribute distance_max numeric
@attribute distance_sd numeric
@attribute distance_span numeric
@attribute distance_coef_of_var numeric
@attribute modes_number numeric
@attribute mst_depth_min numeric
@attribute mst_depth_median numeric
@attribute mst_depth_mean numeric
@attribute mst_depth_max numeric
@attribute mst_depth_sd numeric
@attribute mst_depth_span numeric
@attribute mst_depth_coef_of_var numeric
@attribute mst_dists_min numeric
@attribute mst_dists_median numeric
@attribute mst_dists_mean numeric
@attribute mst_dists_max numeric
@attribute mst_dists_sd numeric
@attribute mst_dists_span numeric
@attribute mst_dists_coef_of_var numeric
@attribute mst_dists_sum numeric
@attribute nnds_min numeric
@attribute nnds_median numeric
@attribute nnds_mean numeric
@attribute nnds_max numeric
@attribute nnds_sd numeric
@attribute nnds_span numeric
@attribute nnds_coef_of_var numeric
@attribute popbestmin numeric
@attribute popbestmed numeric
@attribute popbestavg numeric
@attribute popbestmax numeric
@attribute popavgmin numeric
@attribute popavgmed numeric
@attribute popavgavg numeric
@attribute popavgmax numeric

@data
national_ca4663,1,4663,27950.530688,0.691272,2.013036,1.56,0.008582,0.008584,1.780922,0.095991,1.999571,0.315004,8.070793,0.7,0.027941,0.907933,0.166603,397.01,0.012118,0.00939,2.464989,0.006763,0.001004,-3.077983,0.021381,0.000255,-2.082441,0.089363,0.019275,1.876007,46.652384,0.070801,9.67544,0.81578,0.267618,-0.996234,3.18,0.001543,3.942438,0.249061,0.024138,0.0625,0.5,0.5,0.5,0.9375,0.88205,0.238259,1.68,1953.501906,4.23,0,1.712694,1.668882,3.141593,0.983571,3.141593,0.589359,0.081984,0.491224,0.003626,0.209311,0.219939,0.538453,0.101481,0.534828,0.461405,12,0.173457,2,0.218901,1,0.219784,0.32597,0.684967,0.944242,0.269487,0.004075,0.546644,1,4663,0,0,2628.129551,4.778639,0,0.251171,0.281746,0.912689,0.194828,0.912689,0.691501,6,1,7,52.513618,441,100.245883,440,1.90895,0.000168,0.001522,0.002419,0.120043,0.004309,0.119875,1.781113,0.000002,0.00168,0.076122,0.081953,0.411864,0.047943,0.410183,0.584999,0.995522,0.996768,0.996881,0.999587,0.992884,0.99585,0.995961,0.999152
national_gr9882,1,9882,2936.04333,0.571673,2.16027,7.25,0.009184,0.009185,0.947551,0.046486,1.999798,0.356263,4.610909,2.94,0.057275,1.024548,0.965039,1901.21,0.012314,0.006058,-0.700047,0.007495,0.002644,0.857099,0.010089,0.00012,-8.207266,0.093129,0.006512,-3.484093,104.331703,0.293903,1.74199,0.669603,0.321319,-2.735335,4.76,0.002234,6.099249,1.144249,0.0299,0.041667,0.5,0.5,0.5,0.958333,0.89577,0.209674,7.94,6354.115912,8.95,0,1.570796,1.741026,3.141593,0.843287,3.141593,0.484362,0.858939,0.153357,0.000849,0.086596,0.09505,0.322327,0.049297,0.321478,0.518644,18,0.066498,1,0.095022,1,0.095022,0.207245,0.481279,0.819571,0.089683,0.001821,0.547322,1,17524,0,0.040361,2598.266874,8.761508,0,0.121266,0.131451,0.486347,0.075163,0.486347,0.57179,3,1,5,50.369966,594,115.578684,593,2.294595,0.000056,0.001055,0.001207,0.061362,0.001144,0.061307,0.947599,0.000001,0,0.135821,0.153406,0.691791,0.074254,0.691791,0.484036,0.998546,0.999217,0.999208,0.999898,0.996739,0.998149,0.998206,0.999696
national_lu980,1,634,310.317188,0.49655,3.276034,0.03,0.051869,0.051951,0.405999,8.421541,1.996845,0.350177,8.69356,0.01,0.086957,0.103265,-7.023951,1.29,0.067286,0,0,0.004871,0.000883,-16262192309915.9,0.134858,0.024448,7019655823035.53,0.172713,0.010252,-1553037881562.43,36.586758,0.001611,-102.663118,0.943452,0.158355,-0.409286,0.86,0.002254,2.256319,0.461521,0.01306,0.166667,0.5,0.5,0.5,0.833333,0.878549,0.242902,0.13,296.175441,0.6,0.009836,1.614329,1.614641,3.139827,0.858153,3.129991,0.531482,0.990883,0.007872,0.000242,0.005222,0.005112,0.009511,0.002054,0.00927,0.401912,2,0.004883,1,0.005112,1,0.005112,0.16877,0.463722,0.744479,0.000195,0.023659,0.527421,1,634,0.000002,0,8.854456,0.194708,0,0.006705,0.006972,0.01772,0.003476,0.01772,0.498529,1,1,5,14.697161,75,19.206282,74,1.306802,0.00002,0.000361,0.000363,0.000855,0.000147,0.000836,0.40632,0.000082,0,0.007617,0.009412,0.990036,0.039201,0.990036,4.164797,0.989827,0.994333,0.99438,0.998352,0.987294,0.991824,0.992111,0.997987
national_mu1979,1,1979,2845.865028,0.862263,0.954622,0.28,0.013157,0.013164,1.913048,0.154787,1.998989,0.310008,8.672862,0.13,0.131261,0.923316,2.016812,15.03,0.019214,0.003395,-2.449572,0.005214,0.000181,-1.573444,0.050076,0.000888,-3.803729,0.138252,0.020377,-1.145644,30.749034,0.032314,-2.83212,0.804145,0.272599,-1.100345,3,0.003469,10.107563,1.387221,0.022218,0.071429,0.5,0.5,0.5,0.928571,0.85902,0.28853,0.89,1036.303923,1.82,0,1.298107,1.432752,3.141593,0.994976,3.141593,0.694451,0.145249,0.936574,0.001031,0.031844,0.046177,0.170606,0.040771,0.169576,0.882923,18,0.013365,6,0.017442,7,0.017599,0.266801,0.446185,0.836281,0.018996,0.009096,0.63761,1,1979,0,0,261.170798,0.619147,0,0.046476,0.065952,0.235663,0.056902,0.235663,0.862774,6,1,9,45.60384,265,68.798564,264,1.508613,0.000013,0.000454,0.000869,0.024037,0.001662,0.024024,1.913532,0.000007,0,0.153417,0.145677,0.847079,0.055073,0.847079,0.378052,0.991178,0.995028,0.995098,0.998773,0.970231,0.978567,0.979954,0.993855
national_nu3496,1,2373,1399.230037,0.656308,1.023384,0.41,0.025517,0.025528,0.867576,0.219924,1.999157,0.345788,5.899997,0.19,0.066697,0.784785,0.754826,85.24,0.034082,0.005449,-0.736366,0.006094,0.001837,0.551942,0.041888,0.000386,-0.605246,0.153772,0.012681,-1.424996,69.263021,0.023258,-1.277968,0.786022,0.309756,-0.880847,1.87,0.002448,2.462918,0.414201,0.015537,0.0625,0.5,0.5,0.5,0.9375,0.896755,0.209018,0.58,1126.41547,2.17,0,1.570796,1.717009,3.141593,0.88294,3.141593,0.514232,0.023407,0.977098,0.000293,0.011257,0.012849,0.047353,0.008473,0.04706,0.659412,16,0.008836,2,0.012614,1,0.012836,0.08386,0.305099,0.681837,0.002235,0.008007,0.604884,1,2373,0,0,86.374322,0.751254,0,0.015269,0.018192,0.064105,0.011948,0.064105,0.656767,1,1,5,19.801096,143,32.163855,142,1.624347,0.000016,0.000307,0.000465,0.006917,0.000403,0.0069,0.867759,0.000011,0,0.022979,0.023811,0.984226,0.02212,0.984226,0.928957,0.996256,0.997884,0.997838,0.999658,0.993925,0.996206,0.996322,0.999163
national_rw1621,1,866,732.140939,0.547652,2.073429,0.05,0.036234,0.036276,0.601075,0.603913,1.997691,0.338499,7.287762,0.03,0.091784,0.379344,5.824935,2.62,0.051195,0.009695,-0.375,0.004277,0.000048,0.375,0.080831,0.010393,0.375,0.090647,0.019053,0.375,35.634532,0.034829,0.375,0.892784,0.276446,-0.402761,1.02,0.001997,2.281821,0.63662,0.010335,0.25,0.5,0.5,0.5,0.75,0.898383,0.203233,0.22,424.625882,0.81,0,1.570796,1.545107,3.141593,0.924595,3.141593,0.598402,0.029482,0.971651,0.001503,0.017119,0.018281,0.038236,0.008028,0.036733,0.439166,10,0.008658,1,0.018281,1,0.018281,0.168591,0.363741,0.734411,0.002212,0.01963,0.532986,1,866,0.000001,0,42.91545,0.568778,0,0.023485,0.024749,0.074309,0.013588,0.074309,0.549022,2,1,5,13.259815,72,17.226963,71,1.299186,0.000021,0.000798,0.000899,0.003523,0.000541,0.003502,0.601423,0.000042,0,0.02604,0.030547,0.972455,0.035006,0.972455,1.145984,0.990071,0.993064,0.993364,0.999124,0.986868,0.991502,0.991818,0.997982
national_uy734,1,734,2229.5359,0.479308,9.831691,0.04,0.042699,0.042758,0.613805,1.243745,1.997275,0.351613,5.192441,0.02,0.095171,0.185026,-0.841142,1.71,0.057081,0.003189,2.44949,0.006343,0.001116,2.44949,0.109809,0.030702,-2.44949,0.16485,0,0,35.637282,0.025049,2.449488,0.87381,0.222924,-0.763447,1.28,0.002121,3.025184,0.614167,0.014396,0.25,0.5,0.5,0.5,0.75,0.881471,0.23842,0.16,376.643407,0.69,0,1.479528,1.516929,3.141593,0.938862,3.141593,0.618923,0.101483,0.918068,0.003707,0.060111,0.058367,0.115067,0.020234,0.11136,0.346672,31,0.015289,1,0.058367,1,0.058367,0.245232,0.572207,0.788828,0.022221,0.024523,0.503883,1,734,0.000002,0,115.720402,1.353581,0,0.078305,0.078721,0.203191,0.037869,0.203191,0.481055,3,1,5,16.56267,95,23.785324,94,1.43608,0.000206,0.002946,0.003371,0.010961,0.00207,0.010755,0.614224,0.000058,0.001179,0.103418,0.102807,0.972304,0.05469,0.971126,0.531962,0.988574,0.993055,0.993149,0.999055,0.987053,0.991385,0.991795,0.997823
national_zi929,1,929,2549.828285,0.571445,87.051436,0.06,0.034985,0.035023,1.152774,0.499026,1.997847,0.348365,4.680987,0.03,0.117279,0.346788,-1.212375,3.11,0.048555,0.015319,2.516795,0.007133,0.001755,-2.653864,0.101184,0.003537,1.095445,0.198062,0.014002,-8.775523,37.536018,0.039055,-0.715577,0.783305,0.281692,-1.232267,2.37,0.002211,2.475644,0.425209,0.015047,0.25,0.5,0.5,0.5,0.75,0.892357,0.216362,0.24,546.898573,0.87,0,1.554846,1.555575,3.141593,0.915366,3.141593,0.588442,0.200478,0.796558,0.011034,0.115969,0.11364,0.23772,0.038839,0.226687,0.341772,11,0.004169,16,0.010498,1,0.113044,0.086114,0.240043,0.708288,0.1109,0.020452,0.483756,1,929,0.000001,0,274.112688,0.826553,0,0.153093,0.147372,0.422373,0.084399,0.422373,0.572694,7,1,5,14.725511,93,21.305379,92,1.446835,0.000152,0.002156,0.005167,0.051036,0.00596,0.050885,1.153395,0.000038,0.019286,0.216008,0.201388,0.845709,0.075139,0.826422,0.373106,0.989679,0.993267,0.993646,0.999481,0.985241,0.990257,0.990648,0.99754
rue_1000-1,1,1000,524014.724775,0.475495,5.491945,0.07,0.039998,0.040038,0.458049,3.883408,1.998,0.341661,5.805298,0.04,0.07234,0.094639,2.31669,4.81,0.052878,0,-0,0.005928,0.000648,-0.468289,0.0981,0.003562,-0.677664,0.1359,0.018245,0.707774,44.771115,0.031607,-0.695928,0.796178,0.314867,-0.789107,1.39,0.003014,2.156831,0.509355,0.016466,0.166667,0.5,0.5,0.5,0.833333,0.862,0.281,0.16,463.223565,0.94,0.000433,1.558186,1.580045,3.141103,0.872389,3.140671,0.55213,0.497087,0.515683,0.018204,0.403508,0.384411,0.692014,0.143473,0.67381,0.373228,1,0.38414,1,0.384411,1,0.384411,0.365,0.637,0.841,0.981928,0.018,0.51316,1,1000,0.000001,0,1048.547432,17.227812,0,0.514222,0.523749,1.357442,0.249715,1.357442,0.476784,2,1,5,15.268,98,22.43746,97,1.469574,0.0008,0.020753,0.020991,0.060306,0.00962,0.059506,0.458279,0.00004,0,0.30053,0.337463,0.969077,0.236974,0.969077,0.702224,0.992133,0.994458,0.994792,0.998165,0.990079,0.993439,0.993758,0.998549
rue_1000-10,1,1000,513647.632168,0.475629,4.751838,0.07,0.040927,0.040968,0.463795,4.715089,1.998,0.33649,16.239851,0.03,0.072615,0.122314,1.396953,7.63,0.053442,0,0,0.006286,0.000014,0.375,0.0992,0.0024,-0.375,0.1555,0.0045,-0.375,45.441352,0.02561,0.375,0.888889,0.280652,-0.413312,1.08,0.002227,2.383637,0.427116,0.013984,0.25,0.5,0.5,0.5,0.75,0.903,0.195,0.19,488.831308,0.94,0.001648,1.664986,1.620411,3.133248,0.9224,3.1316,0.569238,0.49682,0.495686,0.031819,0.392222,0.37587,0.69078,0.143953,0.658961,0.382986,1,0.375244,1,0.37587,1,0.37587,0.37,0.623,0.826,0.979104,0.016,0.515506,1,1000,0.000001,0,1028.507875,17.33368,0,0.502564,0.51374,1.34501,0.245012,1.34501,0.476918,1,1,5,18.854,113,27.850823,112,1.477184,0.001108,0.020834,0.021068,0.052972,0.009776,0.051865,0.464027,0.000041,0,0.300202,0.333884,0.979209,0.23465,0.979209,0.702789,0.992572,0.995248,0.995536,0.999462,0.990059,0.993501,0.993851,0.998415
