@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute Basic numeric
@attribute CG numeric
@attribute DIAMETER numeric
@attribute KLB numeric
@attribute Pre numeric
@attribute cl numeric
@attribute lobjois numeric
@attribute ls_gsat numeric
@attribute ls_saps numeric
@attribute sp numeric

@data
./SAT02/industrial/aloul/Bart/bart17.shuffled.cnf,1,0,0.17,0.02,0,0,0.42,2,1.84,2.22,0.02
./SAT02/industrial/aloul/Homer/homer14.shuffled.cnf,1,0,0.43,0.01,0,0,1.99,2,2.29,2.19,0.05
./SAT02/industrial/aloul/Homer/homer16.shuffled.cnf,1,0,0.2,0.01,0,0,1.99,2,2.29,2.23,0.03
./SAT02/industrial/aloul/Homer/homer17.shuffled.cnf,1,0,0.29,0.01,0,0,1.99,2,2.25,2.23,0.03
./SAT02/industrial/biere/dinphil/dp04s04.shuffled.cnf,1,0,0.03,0.01,0,0.01,0,2,2.44,2.27,0.02
./SAT02/industrial/biere/dinphil/dp04u03.shuffled.cnf,1,0,0.02,0,0,0.01,0.01,2,2.12,1.81,0
./SAT02/industrial/biere/dinphil/dp10s10.shuffled.cnf,1,0,0.3,0.96,0.02,0.11,1.92,2,2.33,2.16,0.1
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0,0.27,0.79,0.01,0.08,1.99,2,2.38,2.19,0.1
./SAT02/industrial/goldberg/fpga_routing/vda_gr_rcs_w9.shuffled.cnf,1,0.02,60.03,2.01,0.18,0.65,0.47,2.02,2.25,2.14,2.55
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0,0.11,0.7,0.01,0.03,2,2,2.41,2.2,0.23
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0,0.11,1.11,0.02,0.04,0.21,2,2.43,2.17,0.23
./SAT02/industrial/goldberg/rand_net/rand_net60-40-10.shuffled.cnf,1,0,0.15,1.9,0.03,0.05,2,2,2.37,2.16,0.21
./SAT02/industrial/goldberg/rand_net/rand_net70-60-10.shuffled.cnf,1,0,0.22,2.01,0.08,0.1,2,2,2.38,2.1,0.44
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.05,60.02,2.01,0.43,1.56,2.01,2.08,2.32,2.26,2.85
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf,1,0.05,60.2,2.06,0.55,1.79,1.99,2.11,2.36,2.28,2.79
./SAT03/industrial/goldberg/hard_eq_check/c6288mul.miter.shuffled-as.sat03-346.cnf,1,0.01,28.97,2.01,0.27,0.17,2,2,2.26,2.09,1.23
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.02,60.31,2.01,0.39,0.27,1.99,2,2.28,2.1,1.52
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.01,60.04,2.01,0.22,0.19,2,2,2.28,2.09,1.06
./SAT03/industrial/kukula/addm_bench/am_7_7.shuffled-as.sat03-363.cnf,1,0,0.12,2.01,0.05,0.04,1.99,2,2.48,2.11,0.15
./SAT03/industrial/li/li-exam/li-exam-61.shuffled-as.sat03-366.cnf,1,0.02,6.09,2.01,1.48,0.72,2.01,2,2.26,2.13,2.55
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.03,17.24,2.04,2.7,0.75,2.01,2,2.26,2.15,2.66
./SAT03/industrial/maris/CNF/gripper13u.shuffled-as.sat03-395.cnf,1,0,1.16,2.01,0.05,0.1,2,2,2.36,2.12,0.42
./SAT03/industrial/schuppan/l2s/bc57-sensors-1-k303-unsat.shuffled-as.sat03-406.cnf,1,0.28,60.04,2.19,36.22,14.16,1.99,2.15,2.62,2.72,6.08
./SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.1,74.36,2.07,8.5,8.46,2,2.04,2.37,2.35,5.01
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.85,60.09,2.36,170.73,33.89,2,2.13,3.74,3.68,10.13
./SAT03/industrial/simon/sat02/6pipe_6_ooo.shuffled-as.sat03-413.cnf,1,0.1,268.3,2.03,1.1,4.64,2,2.02,2.45,2.45,3.91
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0,41.46,2.01,0.07,0.48,2,2,2.26,2.08,2.14
./SAT04/industrial/hoonsang/vis-bmc/dekker.used-as.sat04-989.cnf,1,0.01,60.03,2.01,0.06,0.5,2,2,2.26,2.08,2.1
./SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-c.used-as.sat04-317.cnf,1,0.08,60.03,2.03,0.29,2.04,2.01,2,2.79,2.77,4.37
./SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-tr.used-as.sat04-321.cnf,1,0.07,60.04,2.03,0.5,1.98,2,2.06,2.43,2.38,2.96
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0,0.37,0.05,0,0.01,1.99,2,2.33,2.18,0.04
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,1.49,63.94,2.6,21.15,20.25,2.02,2.22,5.74,5.75,40.53
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug6_q0.used-as.sat04-725.cnf,1,0.9,70.27,2.39,20.89,20.95,2.02,2.6,5.57,5.81,39.06
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0.55,155.34,2.06,78.18,27.69,2.01,2,4.69,4.75,22.11
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,1.85,98.83,2.75,251.08,78.16,2,2.36,7.89,8.36,47.71
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,1,1.87,161.82,2.95,424.62,132.44,2.04,2.02,9.83,10.23,66.94
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.01,60.01,2.01,0.01,0.1,2,2,2.1,2.08,0.44
./SAT05/industrial/grieu05/vmpc/vmpc_29.renamed-as.sat05-1916.cnf,1,0.01,61.23,2.01,0.02,0.18,1.99,2,2.12,2.11,0.61
./SAT05/industrial/grieu05/vmpc/vmpc_32.renamed-as.sat05-1919.cnf,1,0.02,61.76,2.01,0.02,0.23,2,2.01,2.13,2.11,0.84
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0.02,61.11,2.01,0.03,0.3,2,2.01,2.15,2.14,1.01
./SAT05/industrial/grieu05/vmpc/vmpc_35.renamed-as.sat05-1921.cnf,1,0.03,62.23,2.02,0.04,0.32,1.99,2.04,2.16,2.15,1.1
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0.03,61.76,2.01,0.05,0.34,2,2.03,2.18,2.17,1.21
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,0,0,?,0,0,?,?,?,?,?
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0,0.02,0,0,0,0,1.5,1.24,1.06,0.01
./SAT05/industrial/maris05/Ferry/ferry5_ks99i.renamed-as.sat05-3994.cnf,1,0,0.54,0.15,0,0.02,0.04,2,2.33,2.17,0.07
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0,0.22,0.01,0,0.01,0.01,2,2.35,1.96,0.03
./SAT05/industrial/narain05/vpn/clauses-8.renamed-as.sat05-1964.cnf,1,0.38,161.51,2.26,538.35,188.74,2.01,2.36,4.07,4.45,10.95
./SAT07/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,0.1,14.53,2.04,35.03,5.24,2,2.01,2.47,2.49,3.61
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.12,19.2,2.01,41.96,5.76,2,2,2.54,2.54,4.07
./SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.14,27.56,2.01,62.51,6.89,2,2.03,2.66,2.66,4.29
./SAT07/industrial/anbulagan/hard-unsat/dated-10-17-u.cnf,1,0.07,13.21,2.03,10.55,4.91,2,2.01,2.33,2.3,3.04
./SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.04,5.38,2.02,5.32,2.93,1.99,2.01,2.25,2.2,2.55
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.06,7.66,2.01,16,3.55,2,2.02,2.33,2.31,3.02
./SAT07/industrial/anbulagan/hard-unsat/total-10-17-u.cnf,1,0.1,17.79,2.04,19.45,6.38,2.01,2.03,2.4,2.39,3.37
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.04,3.34,2.03,3.16,2.17,2,2,2.23,2.14,2.46
./SAT07/industrial/babic/dspam/dspam_dump_vc949.cnf,1,?,?,?,?,1.37,?,?,?,?,?
./SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,2.84,?,?,?,?,?
./SAT07/industrial/crypto/mizh-sha0-36-2.cnf,1,0.02,5.97,2.01,1.16,0.69,2,2,2.28,2.11,1.41
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0,2.51,2.01,0.03,0.13,2,2,2.35,2.12,0.25
./SAT07/industrial/fuhs/hard/AProVE07-03.cnf,1,0,0.77,0.42,0.01,0.04,2,2,2.35,2.16,0.1
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0,0.4,0.32,0.01,0.05,1.99,2,2.33,2.17,0.07
